[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/ | INFO: Tag[ route_check ] --START--
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001024s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002966s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001027s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001125s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 30a99878984c7f18aa9ebcf65c3d6f43.php 第 10 行.
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.010925s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011013s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000774s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000715s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000498s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.000727s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002961s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000722s ]
[ 2012-10-03T00:01:07+08:00 ] /xxx2/index.php/Room/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000792s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ route_check ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run CheckRoute Behavior [ RunTime:0.000887s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000989s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000589s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000653s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002362s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_login` WHERE username=1091306420 LIMIT 1   [ RunTime:0.000589s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.001867s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_class` WHERE classname='通信1091' LIMIT 1   [ RunTime:0.000863s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_work` [ RunTime:0.001998s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_work` WHERE name='朱全银' LIMIT 1   [ RunTime:0.000651s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_work` WHERE name='朱全银' ORDER BY id desc LIMIT 0,8   [ RunTime:0.000493s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_workroute` [ RunTime:0.002119s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_workroute` WHERE username=1091306420  [ RunTime:0.000904s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_template ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000531s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000602s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013231s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013336s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ContentReplace Behavior [ RunTime:0.000499s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run TokenBuild Behavior [ RunTime:0.000425s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000241s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000508s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001851s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_end ] --START--
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000455s ]
[ 2012-10-03T00:01:08+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000517s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ route_check ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run CheckRoute Behavior [ RunTime:0.001008s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001152s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ app_begin ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000693s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002344s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SELECT * FROM `think_login` WHERE username=1091306420 LIMIT 1   [ RunTime:0.000653s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.002062s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SELECT * FROM `think_class` WHERE classname='通信1091' LIMIT 1   [ RunTime:0.000651s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SHOW COLUMNS FROM `think_work` [ RunTime:0.002096s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SELECT COUNT(*) AS tp_count FROM `think_work` WHERE name='朱全银' LIMIT 1   [ RunTime:0.001018s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SELECT * FROM `think_work` WHERE name='朱全银' ORDER BY id desc LIMIT 8,8   [ RunTime:0.000753s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SHOW COLUMNS FROM `think_workroute` [ RunTime:0.002139s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | SQL: SELECT * FROM `think_workroute` WHERE username=1091306420  [ RunTime:0.001524s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_template ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000600s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000677s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_parse ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run ParseTemplate Behavior [ RunTime:0.012589s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012694s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_filter ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run ContentReplace Behavior [ RunTime:0.000448s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run TokenBuild Behavior [ RunTime:0.000414s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000239s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000500s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001773s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_end ] --START--
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000454s ]
[ 2012-10-03T00:01:15+08:00 ] /xxx2/index.php/Room/work_list/?&p=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000515s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ route_check ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run CheckRoute Behavior [ RunTime:0.000876s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000977s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ app_begin ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000637s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002407s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SELECT * FROM `think_login` WHERE username=1091306420 LIMIT 1   [ RunTime:0.001164s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.002078s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SELECT * FROM `think_class` WHERE classname='通信1091' LIMIT 1   [ RunTime:0.001254s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SHOW COLUMNS FROM `think_work` [ RunTime:0.002079s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SELECT COUNT(*) AS tp_count FROM `think_work` WHERE name='朱全银' LIMIT 1   [ RunTime:0.001437s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SELECT * FROM `think_work` WHERE name='朱全银' ORDER BY id desc LIMIT 0,8   [ RunTime:0.000441s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SHOW COLUMNS FROM `think_workroute` [ RunTime:0.002506s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | SQL: SELECT * FROM `think_workroute` WHERE username=1091306420  [ RunTime:0.000389s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_template ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000532s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000605s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_parse ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run ParseTemplate Behavior [ RunTime:0.012561s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012661s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_filter ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run ContentReplace Behavior [ RunTime:0.000460s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run TokenBuild Behavior [ RunTime:0.000414s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run ShowRuntime Behavior [ RunTime:0.000500s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001783s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_end ] --START--
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000463s ]
[ 2012-10-03T00:01:16+08:00 ] /xxx2/index.php/Room/work_list/?&p=1 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000529s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ route_check ] --START--
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run CheckRoute Behavior [ RunTime:0.000870s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000971s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ app_begin ] --START--
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000578s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000640s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_login` [ RunTime:0.002404s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_login` WHERE username=1091306420 LIMIT 1   [ RunTime:0.000507s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_class` [ RunTime:0.001739s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_class` WHERE classname='通信1091' LIMIT 1   [ RunTime:0.000693s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_work` [ RunTime:0.001904s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_work` WHERE name='朱全银' LIMIT 1   [ RunTime:0.000689s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_work` WHERE name='朱全银' ORDER BY id desc LIMIT 0,8   [ RunTime:0.000479s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SHOW COLUMNS FROM `think_workroute` [ RunTime:0.001955s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | SQL: SELECT * FROM `think_workroute` WHERE username=1091306420  [ RunTime:0.000626s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_template ] --START--
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000504s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000577s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_parse ] --START--
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012304s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012412s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Tag[ view_filter ] --START--
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run ContentReplace Behavior [ RunTime:0.000459s ]
[ 2012-10-03T00:01:34+08:00 ] /xxx2/index.php/Room/work_list/ | INFO: Run TokenBuild Behavior [ RunTime:0.000414s ]
